ts,namespace,metric,job_run_id,stat,value
2026-07-15 00:00:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Average,0.8043773663803545
2026-07-15 00:00:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Maximum,0.0
2026-07-15 00:00:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Maximum,0.8445962346993723
2026-07-15 00:00:00+00:00,Glue,glue.driver.aggregate.recordsRead,ALL,Sum,1999211.0
2026-07-15 00:00:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Maximum,0.013167676506212764
2026-07-15 00:00:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Average,8.928576909543201
2026-07-15 00:00:00+00:00,Glue,glue.driver.aggregate.shuffleBytesWritten,ALL,Sum,0.0
2026-07-15 00:00:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,77381151350.0841
2026-07-15 00:00:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,3090155355.215799
2026-07-15 00:00:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,81250208917.58832
2026-07-15 00:00:00+00:00,Glue Observability,glue.driver.skewness.job,sample-session (SYNTHETIC DATA),Maximum,1.0588640151737403
2026-07-15 00:00:00+00:00,Glue,glue.driver.aggregate.numCompletedTasks,ALL,Sum,133.0
2026-07-15 00:00:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Average,0.0
2026-07-15 00:00:00+00:00,Glue,glue.driver.s3.filesystem.read_bytes,ALL,Sum,26752655.943316657
2026-07-15 00:00:00+00:00,Glue,glue.driver.jvm.heap.usage,sample-session (SYNTHETIC DATA),Maximum,0.23982762011511552
2026-07-15 00:00:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,3244663122.9765887
2026-07-15 00:00:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Average,0.008778451004141843
2026-07-15 00:00:00+00:00,Glue Observability,glue.error.OUT_OF_MEMORY,sample-session (SYNTHETIC DATA),Sum,0.0
2026-07-15 00:00:00+00:00,Glue,glue.driver.s3.filesystem.write_bytes,ALL,Sum,20111850.10890196
2026-07-15 00:00:00+00:00,Glue Observability,glue.driver.skewness.stage,sample-session (SYNTHETIC DATA),Maximum,0.9718473455785905
2026-07-15 00:00:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Maximum,8.928576909543201
2026-07-15 00:01:00+00:00,Glue,glue.driver.s3.filesystem.write_bytes,ALL,Sum,160576024.34755856
2026-07-15 00:01:00+00:00,Glue Observability,glue.driver.skewness.stage,sample-session (SYNTHETIC DATA),Maximum,1.0317737507736764
2026-07-15 00:01:00+00:00,Glue,glue.driver.aggregate.shuffleBytesWritten,ALL,Sum,0.0
2026-07-15 00:01:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Maximum,0.125
2026-07-15 00:01:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Maximum,0.135
2026-07-15 00:01:00+00:00,Glue Observability,glue.driver.skewness.job,sample-session (SYNTHETIC DATA),Maximum,0.9912093512630785
2026-07-15 00:01:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Average,0.125
2026-07-15 00:01:00+00:00,Glue,glue.driver.s3.filesystem.read_bytes,ALL,Sum,88601795.64841908
2026-07-15 00:01:00+00:00,Glue Observability,glue.error.OUT_OF_MEMORY,sample-session (SYNTHETIC DATA),Sum,0.0
2026-07-15 00:01:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Average,0.09
2026-07-15 00:01:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Average,9.020763202855488
2026-07-15 00:01:00+00:00,Glue,glue.driver.aggregate.numCompletedTasks,ALL,Sum,124.0
2026-07-15 00:01:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Maximum,9.020763202855488
2026-07-15 00:01:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Average,0.7027987718132417
2026-07-15 00:01:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,3279195922.081649
2026-07-15 00:01:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,75950531488.7233
2026-07-15 00:01:00+00:00,Glue,glue.driver.aggregate.recordsRead,ALL,Sum,2001395.0
2026-07-15 00:01:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Maximum,0.7379387104039038
2026-07-15 00:01:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,79748058063.15947
2026-07-15 00:01:00+00:00,Glue,glue.driver.jvm.heap.usage,sample-session (SYNTHETIC DATA),Maximum,0.24238009435092533
2026-07-15 00:01:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,3123043735.315856
2026-07-15 00:02:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Maximum,6.550971416483425
2026-07-15 00:02:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,3037590444.3286395
2026-07-15 00:02:00+00:00,Glue Observability,glue.driver.skewness.job,sample-session (SYNTHETIC DATA),Maximum,0.903060142226138
2026-07-15 00:02:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,3189469966.5450716
2026-07-15 00:02:00+00:00,Glue,glue.driver.jvm.heap.usage,sample-session (SYNTHETIC DATA),Maximum,0.23574804610329367
2026-07-15 00:02:00+00:00,Glue,glue.driver.aggregate.shuffleBytesWritten,ALL,Sum,0.0
2026-07-15 00:02:00+00:00,Glue,glue.driver.s3.filesystem.read_bytes,ALL,Sum,211693750.24150753
2026-07-15 00:02:00+00:00,Glue Observability,glue.error.OUT_OF_MEMORY,sample-session (SYNTHETIC DATA),Sum,0.0
2026-07-15 00:02:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Average,0.852016105662136
2026-07-15 00:02:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Average,0.25
2026-07-15 00:02:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Average,6.550971416483425
2026-07-15 00:02:00+00:00,Glue,glue.driver.s3.filesystem.write_bytes,ALL,Sum,65015052.90719051
2026-07-15 00:02:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Maximum,0.03689962514401277
2026-07-15 00:02:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,91904709068.38437
2026-07-15 00:02:00+00:00,Glue,glue.driver.aggregate.numCompletedTasks,ALL,Sum,111.0
2026-07-15 00:02:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,96499944521.80359
2026-07-15 00:02:00+00:00,Glue Observability,glue.driver.skewness.stage,sample-session (SYNTHETIC DATA),Maximum,1.1933256615452368
2026-07-15 00:02:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Average,0.024599750096008514
2026-07-15 00:02:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Maximum,0.25
2026-07-15 00:02:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Maximum,0.8946169109452429
2026-07-15 00:02:00+00:00,Glue,glue.driver.aggregate.recordsRead,ALL,Sum,1998992.0
2026-07-15 00:03:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Average,0.375
2026-07-15 00:03:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Average,0.016209076790032924
2026-07-15 00:03:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,3115609505.30908
2026-07-15 00:03:00+00:00,Glue,glue.driver.jvm.heap.usage,sample-session (SYNTHETIC DATA),Maximum,0.24180312216507582
2026-07-15 00:03:00+00:00,Glue,glue.driver.system.cpuSystemLoad,sample-session (SYNTHETIC DATA),Maximum,0.024313615185049386
2026-07-15 00:03:00+00:00,Glue,glue.driver.s3.filesystem.read_bytes,ALL,Sum,18833266.214257557
2026-07-15 00:03:00+00:00,Glue Observability,glue.error.OUT_OF_MEMORY,sample-session (SYNTHETIC DATA),Sum,0.0
2026-07-15 00:03:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,99010771169.7113
2026-07-15 00:03:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Maximum,3.6346479978839983
2026-07-15 00:03:00+00:00,Glue,glue.ALL.jvm.heap.used,sample-session (SYNTHETIC DATA),Average,94295972542.58218
2026-07-15 00:03:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberAllExecutors,sample-session (SYNTHETIC DATA),Maximum,0.375
2026-07-15 00:03:00+00:00,Glue,glue.driver.ExecutorAllocationManager.executors.numberMaxNeededExecutors,sample-session (SYNTHETIC DATA),Average,3.6346479978839983
2026-07-15 00:03:00+00:00,Glue,glue.driver.jvm.heap.used,sample-session (SYNTHETIC DATA),Maximum,3271389980.5745344
2026-07-15 00:03:00+00:00,Glue,glue.driver.aggregate.shuffleBytesWritten,ALL,Sum,0.0
2026-07-15 00:03:00+00:00,Glue Observability,glue.driver.workerUtilization,sample-session (SYNTHETIC DATA),Average,0.8731777532081291
2026-07-15 00:03:00+00:00,Glue Observability,glue.driver.skewness.job,sample-session (SYNTHETIC DATA),Maximum,0.9043163287120354
